 ,Area,X,Y
1,0,33.6,7.6
2,0,239.3,4.7
3,0,534.8,10.5
4,0,702.0,3.5
5,0,710.3,7.3
6,0,1014.3,3.9
7,0,1391.0,6.9
8,0,139.1,8.3
9,0,253.8,9.3
10,0,564.5,7.6
11,0,132.1,9.5
12,0,1091.1,8.8
13,0,1419.8,7.2
14,0,387.9,10.9
15,0,786.3,9.3
16,0,366.7,10.5
17,0,747.2,16.4
18,0,603.5,9.5
19,0,641.4,10.4
20,0,1093.7,18.5
21,0,1076.3,12.9
22,0,1414.9,17.2
23,0,580.5,15.9
24,0,1388.8,17.1
25,0,318.8,16.5
26,0,682.0,22.4
27,0,280.5,19.1
28,0,627.3,23.7
29,0,1047.7,21.5
30,0,121.1,22.2
31,0,722.5,17.5
32,0,468.4,19.0
33,0,596.8,23.8
34,0,188.7,24.2
35,0,544.9,20.4
36,0,552.0,19.0
37,0,782.0,23.4
38,0,204.9,24.7
39,0,154.6,23.8
40,0,176.3,27.2
41,0,230.9,23.1
42,0,1313.0,21.3
43,0,742.1,26.3
44,0,1121.5,23.8
45,0,20.4,26.1
46,0,49.2,25.7
47,0,296.4,24.4
48,0,345.8,27.7
49,0,544.5,25.0
50,0,1141.3,25.8
51,0,478.1,28.9
52,0,376.5,26.5
53,0,1045.7,32.1
54,0,282.4,33.3
55,0,402.8,29.6
56,0,1028.5,29.5
57,0,16.1,31.8
58,0,44.4,31.8
59,0,1402.1,34.9
60,0,21.0,31.5
61,0,85.2,34.9
62,0,254.5,35.6
63,0,263.3,38.4
64,0,745.7,39.2
65,0,1384.7,40.2
66,0,628.6,40.7
67,0,548.9,35.4
68,0,701.1,43.4
69,0,1420.9,39.7
70,0,184.9,39.0
71,0,417.5,38.1
72,0,427.5,36.0
73,0,222.1,38.4
74,0,805.2,42.0
75,0,480.2,38.5
76,0,1097.8,41.7
77,0,302.1,39.3
78,0,568.6,40.1
79,0,670.5,38.5
80,0,399.5,40.0
81,0,43.9,46.0
82,0,233.5,44.6
83,0,366.3,48.5
84,0,516.5,45.2
85,0,134.1,42.3
86,0,381.6,48.8
87,0,402.4,43.7
88,0,216.9,45.2
89,0,1093.8,49.2
90,0,135.0,47.4
91,0,461.2,52.5
92,0,716.5,49.8
93,0,1071.8,52.1
94,0,450.4,49.4
95,0,571.1,50.8
96,0,775.8,48.1
97,0,1055.2,52.7
98,0,725.7,50.1
99,0,111.1,54.9
100,0,259.4,52.0
101,0,396.6,51.1
102,0,419.5,52.4
103,0,434.8,53.4
104,0,662.5,59.8
105,0,1279.3,53.5
106,0,770.4,57.5
107,0,6.0,55.7
108,0,20.5,59.3
109,0,71.0,55.0
110,0,48.7,62.5
111,0,74.7,61.0
112,0,257.2,63.0
113,0,561.0,58.0
114,0,631.1,61.6
115,0,281.0,59.5
116,0,1357.8,69.1
117,0,219.6,63.8
118,0,416.6,63.6
119,0,783.7,64.6
120,0,1036.6,71.3
121,0,452.1,68.5
122,0,580.1,70.7
123,0,756.3,67.3
124,0,1087.4,65.6
125,0,1097.0,64.8
126,0,265.8,67.3
127,0,504.0,65.0
128,0,467.3,71.7
129,0,677.1,72.5
130,0,1093.6,67.6
131,0,816.9,70.4
132,0,786.9,69.6
133,0,364.9,74.3
134,0,1084.5,73.6
135,0,395.5,77.9
136,0,421.0,74.7
137,0,611.8,72.9
138,0,95.0,75.5
139,0,226.4,75.8
140,0,601.7,77.8
141,0,252.0,77.2
142,0,655.3,80.1
143,0,708.7,85.7
144,0,41.9,81.5
145,0,789.6,79.3
146,0,615.0,78.5
147,0,223.6,81.6
148,0,616.2,81.2
149,0,1059.6,83.5
150,0,451.1,84.0
151,0,635.7,86.2
152,0,725.2,87.9
153,0,337.8,84.4
154,0,293.9,87.5
155,0,669.1,91.2
156,0,31.4,93.9
157,0,522.0,87.5
158,0,61.8,92.0
159,0,593.4,88.6
160,0,618.4,92.4
161,0,1387.0,91.0
162,0,309.7,93.6
163,0,1419.9,90.7
164,0,273.8,91.6
165,0,653.6,97.5
166,0,352.8,95.3
167,0,444.2,92.5
168,0,1397.3,96.1
169,0,167.7,94.1
170,0,594.6,94.4
171,0,112.2,95.3
172,0,197.3,95.9
173,0,1419.6,96.1
174,0,68.3,96.6
175,0,272.5,95.5
176,0,117.6,99.2
177,0,316.5,99.9
178,0,391.9,97.8
179,0,1409.4,102.4
180,0,287.4,101.3
181,0,1325.5,108.1
182,0,1374.2,102.0
183,0,704.8,103.0
184,0,724.8,104.4
185,0,780.4,108.0
186,0,1148.1,102.7
187,0,226.8,101.8
188,0,296.3,109.2
189,0,544.6,104.9
190,0,602.7,107.1
191,0,1363.7,109.1
192,0,87.8,110.0
193,0,432.0,104.5
194,0,460.2,111.0
195,0,618.5,107.8
196,0,366.9,105.6
197,0,1392.2,110.2
198,0,247.4,109.0
199,0,501.2,107.9
200,0,344.2,113.3
201,0,1163.8,111.4
202,0,960.1,113.9
203,0,228.5,112.5
204,0,481.0,114.8
205,0,324.2,114.8
206,0,446.5,116.5
207,0,649.0,120.0
208,0,1247.3,120.5
209,0,238.0,118.0
210,0,277.5,121.4
211,0,664.6,119.2
212,0,674.5,119.7
213,0,963.0,118.5
214,0,1233.3,120.9
215,0,322.7,119.1
216,0,167.0,120.0
217,0,293.0,123.4
218,0,337.6,124.2
219,0,571.3,124.4
220,0,369.6,123.1
221,0,633.2,126.8
222,0,750.9,124.4
223,0,555.6,125.7
224,0,1128.1,126.0
225,0,526.2,123.8
226,0,211.5,127.8
227,0,403.6,130.4
228,0,935.7,129.8
229,0,1160.5,124.0
230,0,1262.9,125.7
231,0,480.5,128.9
232,0,1175.6,130.5
233,0,461.8,131.5
234,0,596.0,126.0
235,0,443.0,133.4
236,0,978.0,128.0
237,0,1196.7,131.5
238,0,1390.1,129.9
239,0,1402.8,132.1
240,0,722.1,132.2
241,0,366.0,129.5
242,0,504.8,129.6
243,0,686.6,133.3
244,0,756.7,132.8
245,0,1210.3,135.8
246,0,136.4,133.6
247,0,471.7,139.0
248,0,1284.6,134.6
249,0,620.1,138.8
250,0,127.5,135.5
251,0,484.5,136.3
252,0,904.6,142.7
253,0,923.4,140.7
254,0,1116.0,136.5
255,0,1391.5,138.9
256,0,257.5,139.6
257,0,1245.7,136.1
258,0,1010.4,141.1
259,0,1241.0,137.5
260,0,659.5,138.5
261,0,680.3,144.3
262,0,1069.9,142.0
263,0,224.6,142.5
264,0,233.5,140.0
265,0,1065.0,140.0
266,0,1145.9,143.6
267,0,1095.1,141.8
268,0,295.8,146.0
269,0,403.2,148.8
270,0,421.0,142.0
271,0,984.6,151.8
272,0,185.1,145.0
273,0,435.2,144.6
274,0,662.8,145.0
275,0,1163.7,149.2
276,0,360.8,151.2
277,0,635.3,154.4
278,0,698.8,151.3
279,0,479.6,152.0
280,0,528.9,148.6
281,0,605.7,153.3
282,0,287.4,154.1
283,0,572.0,150.5
284,0,493.2,157.4
285,0,1396.8,153.6
286,0,420.5,161.4
287,0,536.2,155.6
288,0,1412.1,162.3
289,0,299.3,159.7
290,0,756.4,160.1
291,0,1040.3,158.6
292,0,467.5,156.8
293,0,531.8,160.6
294,0,1002.0,160.8
295,0,1146.8,161.4
296,0,508.6,159.9
297,0,886.4,164.5
298,0,1093.3,160.8
299,0,563.5,162.6
300,0,894.0,163.8
301,0,209.3,163.9
302,0,514.5,162.2
303,0,1390.8,162.3
304,0,260.1,169.6
305,0,1087.8,167.0
306,0,1037.5,166.0
307,0,651.2,167.2
308,0,732.4,167.6
309,0,758.0,172.7
310,0,989.2,169.7
311,0,209.0,170.0
312,0,1432.8,169.4
313,0,923.0,176.6
314,0,1068.6,173.6
315,0,1429.0,169.5
316,0,664.2,173.0
317,0,853.2,172.5
318,0,1398.2,173.3
319,0,608.2,172.2
320,0,955.2,174.9
321,0,966.5,171.5
322,0,381.6,183.1
323,0,415.7,177.8
324,0,444.6,182.2
325,0,1284.9,178.2
326,0,240.5,175.0
327,0,849.0,176.2
328,0,332.7,181.3
329,0,550.2,175.8
330,0,967.0,180.2
331,0,1008.2,179.5
332,0,950.3,179.8
333,0,1051.7,181.5
334,0,184.8,185.9
335,0,509.8,179.8
336,0,550.2,181.2
337,0,852.5,181.2
338,0,1328.1,181.6
339,0,1392.1,182.6
340,0,462.3,184.2
341,0,627.8,187.7
342,0,1105.1,184.0
343,0,214.2,186.2
344,0,685.5,184.5
345,0,1257.8,186.4
346,0,267.5,186.0
347,0,284.4,191.6
348,0,958.5,191.1
349,0,247.2,187.5
350,0,927.0,194.3
351,0,1081.4,188.8
352,0,594.7,194.1
353,0,1367.7,192.9
354,0,1377.9,193.7
355,0,896.3,198.6
356,0,1124.7,194.3
357,0,735.5,198.6
358,0,1060.8,195.6
359,0,1305.6,194.3
360,0,454.3,195.4
361,0,433.2,199.6
362,0,1143.6,200.9
363,0,469.5,199.3
364,0,967.1,202.0
365,0,1004.8,198.6
366,0,1037.6,199.6
367,0,1089.9,202.2
368,0,237.7,199.3
369,0,912.1,204.6
370,0,163.8,203.6
371,0,335.8,203.8
372,0,629.9,204.6
373,0,209.7,204.5
374,0,297.7,205.6
375,0,1069.8,201.2
376,0,364.5,201.5
377,0,1075.0,204.2
378,0,1108.4,203.4
379,0,1200.0,201.5
380,0,1298.3,204.3
381,0,1277.8,210.1
382,0,1315.5,204.0
383,0,1292.4,208.7
384,0,311.8,206.8
385,0,1303.9,207.7
386,0,163.9,218.8
387,0,424.4,209.8
388,0,1065.6,211.7
389,0,1299.6,209.4
390,0,1083.6,214.2
391,0,1146.9,213.6
392,0,278.3,214.0
393,0,1028.5,215.3
394,0,1164.4,218.5
395,0,1411.2,213.2
396,0,1337.5,214.5
397,0,464.1,218.5
398,0,236.7,223.3
399,0,965.6,221.5
400,0,1410.0,217.5
401,0,1431.6,219.8
402,0,269.9,227.9
403,0,1325.0,221.0
404,0,1418.7,227.2
405,0,331.2,223.8
406,0,1145.0,227.0
407,0,189.0,233.0
408,0,293.9,228.9
409,0,534.2,226.3
410,0,338.4,226.4
411,0,395.3,231.5
412,0,529.2,227.9
413,0,971.1,227.4
414,0,1188.3,228.1
415,0,1360.5,226.0
416,0,455.5,232.1
417,0,471.6,231.1
418,0,131.2,236.0
419,0,308.8,233.4
420,0,348.1,233.3
421,0,1043.6,231.3
422,0,509.3,231.0
423,0,990.3,232.6
424,0,1345.0,230.0
425,0,91.1,246.3
426,0,142.2,236.7
427,0,366.4,240.7
428,0,438.5,234.5
429,0,1406.5,239.3
430,0,1429.4,242.3
431,0,213.8,243.9
432,0,324.2,240.2
433,0,409.6,241.9
434,0,1368.3,237.5
435,0,509.8,238.2
436,0,1134.9,241.7
437,0,1359.5,238.8
438,0,297.9,242.9
439,0,484.9,243.3
440,0,853.8,244.7
441,0,1346.4,242.7
442,0,381.4,244.0
443,0,534.0,245.6
444,0,1011.0,241.0
445,0,1147.6,243.8
446,0,1159.2,242.8
447,0,917.2,245.1
448,0,448.3,246.9
449,0,1103.9,246.0
450,0,1299.3,249.5
451,0,1303.6,246.2
452,0,10.1,251.0
453,0,963.5,252.9
454,0,1268.7,251.4
455,0,1409.8,250.4
456,0,304.1,253.2
457,0,1277.9,250.5
458,0,273.5,255.6
459,0,468.8,252.8
460,0,1334.3,251.8
461,0,1367.2,257.7
462,0,236.7,259.1
463,0,948.2,255.5
464,0,1023.6,261.0
465,0,1390.4,257.6
466,0,980.1,260.5
467,0,1295.1,255.1
468,0,1085.9,256.1
469,0,1051.3,259.0
470,0,1189.6,259.0
471,0,1426.2,265.1
472,0,1130.6,258.8
473,0,1224.2,259.1
474,0,1351.6,258.4
475,0,1409.6,264.4
476,0,1040.3,260.0
477,0,1213.5,259.5
478,0,1397.5,260.5
479,0,257.5,269.1
480,0,459.0,266.1
481,0,309.2,269.8
482,0,1202.3,265.6
